condition,indicator,family,importance,direction,signed,alternatives
retrofit,cost_labour,cost,0.02291,-0.385,-0.00882,1077
retrofit,cost_maintenance,cost,0.01929,-0.176,-0.0034,1077
retrofit,health,health_safety,0.08147,0.669,0.05453,1077
retrofit,u_value,performance,0.07943,-0.763,-0.06058,1077
retrofit,acoustic_reduction,performance,0.02259,0.099,0.00223,1077
retrofit,surface_mass,performance,0.02142,-0.628,-0.01345,1077
retrofit,heat_capacity,performance,0.01009,-0.194,-0.00196,1077
retrofit,fire_reaction,health_safety,0.0431,0.446,0.01924,1077
retrofit,thickness,performance,0.01819,-0.599,-0.0109,1077
thermal_insulation,gwp,environmental_impact,0.05112,-0.661,-0.03377,1062
thermal_insulation,wdp,environmental_impact,0.00572,-0.306,-0.00175,737
thermal_insulation,fwu,environmental_impact,0.00684,-0.322,-0.0022,790
thermal_insulation,circ_orig,circularity,0.01655,0.19,0.00314,1013
thermal_insulation,fu_recyc,circularity,0.03121,0.428,0.01337,1019
thermal_insulation,fu_incin,circularity,0.00633,-0.183,-0.00116,1072
thermal_insulation,fu_inert,circularity,0.01249,-0.68,-0.00849,1012
thermal_insulation,fu_haz,circularity,0.01564,-0.357,-0.00559,1075
thermal_insulation,cost_product,cost,0.02639,-0.484,-0.01278,1077
thermal_insulation,cost_labour,cost,0.02146,-0.42,-0.00902,1077
thermal_insulation,cost_maintenance,cost,0.01808,-0.238,-0.0043,1077
thermal_insulation,health,health_safety,0.08625,0.674,0.05813,1077
thermal_insulation,u_value,performance,0.11723,-0.772,-0.0905,1077
thermal_insulation,acoustic_reduction,performance,0.02721,0.333,0.00907,1077
thermal_insulation,surface_mass,performance,0.00755,0.127,0.00096,1077
thermal_insulation,heat_capacity,performance,0.01243,0.172,0.00213,1077
thermal_insulation,fire_reaction,health_safety,0.04416,0.516,0.02281,1077
thermal_insulation,thickness,performance,0.00506,-0.253,-0.00128,1077
