indicator,withholding,shap
wdp,-0.00346,-0.00481
cement_content,-0.00036,-0.00409
fwu,0.00249,0.0
fu_incin,0.00173,0.0
fu_haz,0.00238,0.0
cost_product,0.00383,0.0
cost_labour,0.00265,0.0
cost_maintenance,0.00052,0.0
water_to_cement_ratio,-0.00134,0.0
scm_content,0.00172,0.0
density,-0.01394,0.0
d_max,0.003,0.0
cost_maintenance,0.00497,0.08475
gwp,0.00307,0.08299
cost_product,0.0053,0.07672
slump,0.18337,0.07287
circ_orig,0.00132,0.04112
wdp,0.00221,0.0397
b,0.00146,0.03894
d_max,-0.00065,0.02415
fu_recyc,0.06858,0.02019
water_to_cement_ratio,-0.00721,0.01293
fwu,0.00222,0.0
fu_incin,0.00144,0.0
fu_inert,0.00178,0.0
fu_haz,0.0013,0.0
cost_labour,0.00392,0.0
health,0.17701,0.0
compressive_strength,0.01584,0.0
cement_content,0.00012,0.0
scm_content,0.01347,0.0
density,0.00698,0.0
health,-0.09606,-0.54211
gwp,0.00025,-0.01166
fu_recyc,0.00095,-0.00861
b,-3e-05,-0.00684
fu_inert,-2e-05,-0.00642
water_to_cement_ratio,-0.00045,-0.00365
fu_haz,-0.00044,0.00234
wdp,-0.00036,0.00174
compressive_strength,0.00062,0.0017
cost_product,-0.00124,-0.00117
fwu,-0.00051,0.0
circ_orig,0.0007,0.0
fu_incin,-0.00076,0.0
cost_labour,-0.00124,0.0
cost_maintenance,-0.00095,0.0
cement_content,-0.00063,0.0
scm_content,7e-05,0.0
slump,0.00069,0.0
density,0.00052,0.0
d_max,0.00018,0.0
health,0.62923,0.06103
gwp,0.00523,0.05172
fu_recyc,0.06025,0.02606
wdp,-0.00558,-0.01861
circ_orig,0.1123,0.0168
fu_inert,0.02222,0.01653
cost_product,0.01294,-0.01519
scm_content,-0.00472,-0.01092
water_to_cement_ratio,0.0214,0.01026
d_max,0.00208,0.00311
fwu,0.01228,0.0
b,-0.00861,0.0
fu_incin,0.00459,0.0
fu_haz,0.01121,0.0
cost_labour,0.01135,0.0
cost_maintenance,0.01482,0.0
compressive_strength,0.0432,0.0
cement_content,0.0073,0.0
slump,0.00832,0.0
density,0.01332,0.0
health,0.42045,0.1068
density,-0.10628,-0.08175
circ_orig,-0.02356,-0.03221
fwu,0.00235,0.01553
gwp,0.00733,0.01182
cement_content,-0.0079,-0.01141
cost_product,-0.00558,-0.01118
fu_recyc,0.01549,0.00945
compressive_strength,-0.02485,-0.00812
wdp,-0.00993,-0.00713
b,0.00073,0.0
fu_incin,0.00171,0.0
fu_inert,0.00186,0.0
fu_haz,0.00181,0.0
cost_labour,-0.00078,0.0
